year,spatial_unit,age,nat,sex,n_jan,births,hist_imm_nat_n,hist_imm_int_n,hist_imm_sub_n,hist_emi_sub_n
2023,1,66,ch,m,586,0,2,1,6,8
2023,1,67,ch,m,587,0,1,1,7,8
2023,1,68,ch,m,595,0,3,1,4,7
2023,1,69,ch,m,547,0,8,0,6,3
2023,1,70,ch,m,499,0,2,0,5,8
2023,1,71,ch,m,511,0,0,1,6,6
2023,1,72,ch,m,463,0,1,1,5,7
2023,1,73,ch,m,452,0,3,0,4,4
2023,1,74,ch,m,450,0,1,1,3,3
2023,1,75,ch,m,449,0,1,2,5,5
2023,1,76,ch,m,490,0,1,0,5,7
2023,1,77,ch,m,461,0,2,0,6,0
2023,1,78,ch,m,451,0,4,1,7,4
2023,1,79,ch,m,399,0,6,0,2,3
2023,1,80,ch,m,403,0,1,0,4,6
2023,1,81,ch,m,385,0,3,0,3,3
2023,1,82,ch,m,351,0,0,0,4,3
2023,1,83,ch,m,251,0,1,0,6,4
2023,1,84,ch,m,273,0,1,0,1,1
2023,1,85,ch,m,241,0,0,1,1,1
2023,1,86,ch,m,217,0,0,0,4,1
2023,1,87,ch,m,181,0,1,0,2,0
2023,1,88,ch,m,173,0,0,0,2,2
2023,1,89,ch,m,161,0,1,0,2,1
2023,1,90,ch,m,127,0,0,0,2,0
2023,1,91,ch,m,121,0,1,0,1,2
2023,1,92,ch,m,102,0,2,0,2,2
2023,1,93,ch,m,74,0,0,0,2,1
2023,1,94,ch,m,52,0,0,1,0,0
2023,1,95,ch,m,42,0,0,0,3,1
2023,1,96,ch,m,30,0,0,0,0,0
2023,1,97,ch,m,13,0,0,0,0,0
2023,1,98,ch,m,9,0,0,0,0,0
2023,1,99,ch,m,7,0,0,0,0,0
2023,1,100,ch,m,15,0,0,0,0,0
2023,1,0,ch,f,0,471,9,0,6,14
2023,1,1,ch,f,451,0,17,1,24,38
2023,1,2,ch,f,510,0,13,4,20,26
2023,1,3,ch,f,457,0,9,3,21,24
2023,1,4,ch,f,423,0,11,1,20,23
2023,1,5,ch,f,457,0,8,2,8,13
2023,1,6,ch,f,461,0,7,0,10,13
2023,1,7,ch,f,429,0,0,2,5,6
2023,1,8,ch,f,501,0,9,2,4,6
2023,1,9,ch,f,434,0,1,3,2,9
2023,1,10,ch,f,419,0,4,3,4,4
2023,1,11,ch,f,449,0,2,0,5,7
2023,1,12,ch,f,457,0,3,4,12,13
2023,1,13,ch,f,480,0,2,1,9,9
2023,1,14,ch,f,427,0,1,1,7,2
2023,1,15,ch,f,458,0,1,1,10,6
2023,1,16,ch,f,422,0,4,2,8,14
2023,1,17,ch,f,430,0,4,1,13,11
2023,1,18,ch,f,472,0,5,1,15,17
2023,1,19,ch,f,449,0,5,3,19,9
2023,1,20,ch,f,468,0,14,1,35,27
2023,1,21,ch,f,477,0,20,0,41,30
2023,1,22,ch,f,472,0,16,2,55,43
2023,1,23,ch,f,548,0,36,2,70,41
2023,1,24,ch,f,579,0,42,5,99,58
2023,1,25,ch,f,624,0,48,0,93,63
2023,1,26,ch,f,670,0,45,3,96,91
2023,1,27,ch,f,756,0,68,3,86,85
2023,1,28,ch,f,761,0,42,6,90,86
2023,1,29,ch,f,745,0,49,1,90,77
2023,1,30,ch,f,747,0,47,3,58,73
2023,1,31,ch,f,799,0,52,3,63,79
2023,1,32,ch,f,774,0,36,2,53,65
2023,1,33,ch,f,771,0,40,2,34,66
2023,1,34,ch,f,697,0,30,1,41,69
2023,1,35,ch,f,702,0,28,3,35,54
2023,1,36,ch,f,689,0,21,5,21,38
2023,1,37,ch,f,651,0,20,4,22,25
2023,1,38,ch,f,651,0,17,0,17,31
2023,1,39,ch,f,610,0,9,3,27,31
2023,1,40,ch,f,620,0,10,2,27,30
2023,1,41,ch,f,647,0,9,0,13,20
2023,1,42,ch,f,600,0,11,4,15,20
2023,1,43,ch,f,589,0,11,2,9,9
2023,1,44,ch,f,563,0,6,4,5,19
2023,1,45,ch,f,567,0,5,0,16,14
2023,1,46,ch,f,586,0,2,1,11,14
2023,1,47,ch,f,653,0,5,4,6,12
2023,1,48,ch,f,600,0,5,1,18,7
2023,1,49,ch,f,557,0,3,0,14,12
2023,1,50,ch,f,572,0,5,2,9,12
2023,1,51,ch,f,580,0,8,2,16,13
2023,1,52,ch,f,654,0,10,1,13,15
2023,1,53,ch,f,664,0,8,4,14,9
2023,1,54,ch,f,675,0,13,0,16,11
2023,1,55,ch,f,766,0,3,3,20,19
2023,1,56,ch,f,721,0,5,2,15,23
2023,1,57,ch,f,765,0,9,1,10,19
2023,1,58,ch,f,738,0,4,3,8,17
2023,1,59,ch,f,776,0,7,1,14,12
2023,1,60,ch,f,778,0,11,3,16,18
2023,1,61,ch,f,709,0,8,1,11,9
2023,1,62,ch,f,702,0,5,0,10,10
2023,1,63,ch,f,681,0,14,2,9,9
2023,1,64,ch,f,689,0,8,0,12,19
2023,1,65,ch,f,693,0,9,0,10,9
2023,1,66,ch,f,718,0,5,0,11,13
2023,1,67,ch,f,662,0,9,0,7,15
2023,1,68,ch,f,598,0,3,1,3,10
2023,1,69,ch,f,610,0,3,2,10,5
2023,1,70,ch,f,589,0,8,0,11,6
2023,1,71,ch,f,595,0,1,0,7,5
